_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID_x,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID_y
5e2502a2f9af8b63eb5a4de7,0039,"Fri, 03 Jan 2020 17:48:23 GMT","Fri, 03 Jan 2020 21:45:39 GMT","Fri, 03 Jan 2020 21:46:38 GMT",0.914,2_39_79_377_2020-01-03 17:48:23.018957,0002,CA-325,2-39-79-377,America/Los_Angeles,,400.0,20.0,50.0,109.0,"Fri, 03 Jan 2020 17:41:42 GMT",True,"Fri, 03 Jan 2020 19:29:31 GMT",798.0
5e2502a2f9af8b63eb5a4de8,0039,"Fri, 03 Jan 2020 17:50:40 GMT","Sat, 04 Jan 2020 00:52:55 GMT","Fri, 03 Jan 2020 19:07:54 GMT",4.008,2_39_123_23_2020-01-03 17:50:40.207600,0002,CA-313,2-39-123-23,America/Los_Angeles,000002170,,,,,,,,
5e2502a2f9af8b63eb5a4de9,0039,"Fri, 03 Jan 2020 18:08:07 GMT","Fri, 03 Jan 2020 20:14:53 GMT","Fri, 03 Jan 2020 18:38:11 GMT",0.812,2_39_79_380_2020-01-03 18:08:06.946951,0002,CA-489,2-39-79-380,America/Los_Angeles,,400.0,8.0,20.0,183.0,"Fri, 03 Jan 2020 17:50:48 GMT",True,"Fri, 03 Jan 2020 20:53:40 GMT",2170.0
5e2502a2f9af8b63eb5a4dea,0039,"Fri, 03 Jan 2020 18:23:45 GMT","Fri, 03 Jan 2020 21:19:46 GMT","Fri, 03 Jan 2020 19:36:30 GMT",3.713,2_39_92_442_2020-01-03 18:23:44.761404,0002,CA-498,2-39-92-442,America/Los_Angeles,000003447,400.0,8.0,20.0,183.0,"Fri, 03 Jan 2020 17:51:03 GMT",True,"Fri, 03 Jan 2020 20:53:40 GMT",2170.0
5e2502a2f9af8b63eb5a4deb,0039,"Fri, 03 Jan 2020 18:40:29 GMT","Sat, 04 Jan 2020 03:55:21 GMT","Fri, 03 Jan 2020 23:08:46 GMT",9.566,2_39_126_20_2020-01-03 18:40:28.924098,0002,CA-310,2-39-126-20,America/Los_Angeles,000003270,,,,,,,,
5e2502a2f9af8b63eb5a4dec,0039,"Fri, 03 Jan 2020 19:04:18 GMT","Sat, 04 Jan 2020 01:50:00 GMT","Fri, 03 Jan 2020 20:11:41 GMT",3.695,2_39_131_30_2020-01-03 19:04:18.163790,0002,CA-305,2-39-131-30,America/Los_Angeles,000000567,375.0,15.0,40.0,219.0,"Fri, 03 Jan 2020 18:24:02 GMT",True,"Fri, 03 Jan 2020 22:02:45 GMT",3447.0
5e2502a2f9af8b63eb5a4ded,0039,"Fri, 03 Jan 2020 19:10:14 GMT","Fri, 03 Jan 2020 20:00:13 GMT","Fri, 03 Jan 2020 20:00:09 GMT",2.804,2_39_130_31_2020-01-03 19:10:14.392450,0002,CA-306,2-39-130-31,America/Los_Angeles,000000365,200.0,40.0,200.0,466.0,"Fri, 03 Jan 2020 18:40:45 GMT",True,"Sat, 04 Jan 2020 02:26:29 GMT",3270.0
5e2502a2f9af8b63eb5a4dee,0039,"Sat, 04 Jan 2020 00:59:57 GMT","Sat, 04 Jan 2020 02:29:40 GMT","Sat, 04 Jan 2020 02:29:35 GMT",4.98,2_39_123_23_2020-01-04 00:59:56.797170,0002,CA-313,2-39-123-23,America/Los_Angeles,000001920,400.0,8.0,20.0,596.0,"Fri, 03 Jan 2020 19:04:25 GMT",True,"Sat, 04 Jan 2020 05:00:18 GMT",567.0
5e2502a2f9af8b63eb5a4def,0039,"Sat, 04 Jan 2020 02:19:38 GMT","Sat, 04 Jan 2020 21:09:25 GMT","Sat, 04 Jan 2020 05:34:17 GMT",11.271,2_39_139_28_2020-01-04 02:19:38.310090,0002,CA-303,2-39-139-28,America/Los_Angeles,000000838,400.0,8.0,20.0,596.0,"Fri, 03 Jan 2020 19:04:29 GMT",True,"Sat, 04 Jan 2020 05:00:18 GMT",567.0
5e2502a2f9af8b63eb5a4df0,0039,"Sat, 04 Jan 2020 03:21:06 GMT","Sat, 04 Jan 2020 03:40:32 GMT","Sat, 04 Jan 2020 03:41:31 GMT",2.127,2_39_131_30_2020-01-04 03:21:05.618565,0002,CA-305,2-39-131-30,America/Los_Angeles,000001238,333.0,9.99,30.0,104.0,"Fri, 03 Jan 2020 19:11:47 GMT",True,"Fri, 03 Jan 2020 20:54:14 GMT",365.0
